2016-06-19	2016	201606	20160619	2	2016-06-19
2016-06-20	2016	201606	20160620	0	2016-06-20
2016-06-21	2016	201606	20160621	0	2016-06-21
2016-06-22	2016	201606	20160622	0	2016-06-22
2016-06-23	2016	201606	20160623	0	2016-06-23
2016-06-24	2016	201606	20160624	0	2016-06-24
2016-06-25	2016	201606	20160625	2	2016-06-25
2016-06-26	2016	201606	20160626	2	2016-06-26
2016-06-27	2016	201606	20160627	0	2016-06-27
2016-06-28	2016	201606	20160628	0	2016-06-28
2016-06-29	2016	201606	20160629	0	2016-06-29
2016-06-30	2016	201606	20160630	0	2016-06-30
2016-07-01	2016	201607	20160701	0	2016-07-01
2016-07-02	2016	201607	20160702	2	2016-07-02
2016-07-03	2016	201607	20160703	2	2016-07-03
2016-07-04	2016	201607	20160704	0	2016-07-04
2016-07-05	2016	201607	20160705	0	2016-07-05
2016-07-06	2016	201607	20160706	0	2016-07-06
2016-07-07	2016	201607	20160707	0	2016-07-07
2016-07-08	2016	201607	20160708	0	2016-07-08
2016-07-09	2016	201607	20160709	2	2016-07-09
2016-07-10	2016	201607	20160710	2	2016-07-10
2016-07-11	2016	201607	20160711	0	2016-07-11
2016-07-12	2016	201607	20160712	0	2016-07-12
2016-07-13	2016	201607	20160713	0	2016-07-13
2016-07-14	2016	201607	20160714	0	2016-07-14
2016-07-15	2016	201607	20160715	0	2016-07-15
2016-07-16	2016	201607	20160716	2	2016-07-16
2016-07-17	2016	201607	20160717	2	2016-07-17
2016-07-18	2016	201607	20160718	0	2016-07-18
2016-07-19	2016	201607	20160719	0	2016-07-19
2016-07-20	2016	201607	20160720	0	2016-07-20
2016-07-21	2016	201607	20160721	0	2016-07-21
2016-07-22	2016	201607	20160722	0	2016-07-22
2016-07-23	2016	201607	20160723	2	2016-07-23
2016-07-24	2016	201607	20160724	2	2016-07-24
2016-07-25	2016	201607	20160725	0	2016-07-25
2016-07-26	2016	201607	20160726	0	2016-07-26
2016-07-27	2016	201607	20160727	0	2016-07-27
2016-07-28	2016	201607	20160728	0	2016-07-28
2016-07-29	2016	201607	20160729	0	2016-07-29
2016-07-30	2016	201607	20160730	2	2016-07-30
2016-07-31	2016	201607	20160731	2	2016-07-31
2016-08-01	2016	201608	20160801	0	2016-08-01
2016-08-02	2016	201608	20160802	0	2016-08-02
2016-08-03	2016	201608	20160803	0	2016-08-03
2016-08-04	2016	201608	20160804	0	2016-08-04
2016-08-05	2016	201608	20160805	0	2016-08-05
2016-08-06	2016	201608	20160806	2	2016-08-06
2016-08-07	2016	201608	20160807	2	2016-08-07
2016-08-08	2016	201608	20160808	0	2016-08-08
2016-08-09	2016	201608	20160809	0	2016-08-09
2016-08-10	2016	201608	20160810	0	2016-08-10
2016-08-11	2016	201608	20160811	0	2016-08-11
2016-08-12	2016	201608	20160812	0	2016-08-12
2016-08-13	2016	201608	20160813	2	2016-08-13
2016-08-14	2016	201608	20160814	2	2016-08-14
2016-08-15	2016	201608	20160815	0	2016-08-15
2016-08-16	2016	201608	20160816	0	2016-08-16
2016-08-17	2016	201608	20160817	0	2016-08-17
2016-08-18	2016	201608	20160818	0	2016-08-18
2016-08-19	2016	201608	20160819	0	2016-08-19
2016-08-20	2016	201608	20160820	2	2016-08-20
2016-08-21	2016	201608	20160821	2	2016-08-21
2016-08-22	2016	201608	20160822	0	2016-08-22
2016-08-23	2016	201608	20160823	0	2016-08-23
2016-08-24	2016	201608	20160824	0	2016-08-24
2016-08-25	2016	201608	20160825	0	2016-08-25
2016-08-26	2016	201608	20160826	0	2016-08-26
2016-08-27	2016	201608	20160827	2	2016-08-27
2016-08-28	2016	201608	20160828	2	2016-08-28
2016-08-29	2016	201608	20160829	0	2016-08-29
2016-08-30	2016	201608	20160830	0	2016-08-30
2016-08-31	2016	201608	20160831	0	2016-08-31
